Name with owner,Primary language,Lifetime (years),Stars,Releases,Releases per day,Forks,Watchers,LOC,SLOC,CLOC
CyC2018/CS-Notes,Java,2,112087,0,0.000,36605,5229,33368,27410,1704
Snailclimb/JavaGuide,Java,2,89054,0,0.000,30810,4452,720,617,64
iluwatar/java-design-patterns,Java,6,60986,0,0.000,19473,4000,109435,47098,50093
MisterBooo/LeetCodeAnimation,Java,1,59666,0,0.000,11242,2479,420,347,25
elastic/elasticsearch,Java,10,51511,33,0.008,17889,2807,2491091,1810464,375044
spring-projects/spring-boot,Java,7,50941,70,0.024,31593,3464,593824,350501,155562
kdn251/interviews,Java,3,48104,0,0.000,10172,2577,22272,11583,6649
doocs/advanced-java,Java,2,47675,0,0.000,13322,2412,151,140,0
ReactiveX/RxJava,Java,7,43546,202,0.071,7250,2342,467273,311463,79934
macrozheng/mall,Java,2,41757,1,0.001,17891,2000,110645,90138,3416
spring-projects/spring-framework,Java,9,39564,188,0.052,27109,3521,1257868,707243,367675
google/guava,Java,6,38955,29,0.012,8738,2517,758721,498094,181694
square/okhttp,Java,8,38373,0,0.000,8243,1685,97269,68726,17836
square/retrofit,Java,10,36673,27,0.007,6678,1621,37883,27498,6208
apache/dubbo,Java,8,33710,27,0.009,22240,3281,289787,181482,69681
PhilJay/MPAndroidChart,Java,6,31837,44,0.019,8120,1139,44603,26770,9178
TheAlgorithms/Java,Java,4,30639,0,0.000,10668,1908,19273,11623,5346
bumptech/glide,Java,7,29987,35,0.013,5472,1088,104279,77328,14295
airbnb/lottie-android,Java,4,29796,27,0.018,4760,876,31053,24671,2614
Blankj/AndroidUtilCode,Java,4,27987,115,0.075,9275,1183,74508,47951,18684
zxing/zxing,Java,8,26322,27,0.008,8807,1702,206945,159832,41065
proxyee-down-org/proxyee-down,Java,2,25554,49,0.045,4674,993,8711,7678,445
JakeWharton/butterknife,Java,7,25468,0,0.000,4750,1094,17400,14427,926
crossoverJie/JCSprout,Java,2,25289,0,0.000,6941,1687,7129,4326,1401
kon9chunkit/GitHub-Chinese-Top-Charts,Java,1,25263,0,0.000,3455,1482,0,0,0
netty/netty,Java,9,24871,0,0.000,11959,1846,468939,306264,106754
ityouknow/spring-boot-examples,Java,3,23752,0,0.000,10667,1318,18283,15871,409
skylot/jadx,Java,7,23528,13,0.005,2822,740,89027,72649,3799
alibaba/arthas,Java,2,23191,27,0.035,5046,1120,14436,13271,521
eugenp/tutorials,Java,7,23149,0,0.000,37011,1522,1220813,989583,82335
greenrobot/EventBus,Java,8,22875,5,0.002,4517,1117,9216,6134,1857
alibaba/fastjson,Java,8,22454,79,0.024,5978,1397,246550,183665,15833
ctripcorp/apollo,Java,4,22439,27,0.016,8211,1329,110331,86761,6213
NationalSecurityAgency/ghidra,Java,1,22409,0,0.000,3052,834,2421483,1592238,535636
alibaba/druid,Java,8,22323,37,0.011,7372,1822,562687,393641,78609
scwang90/SmartRefreshLayout,Java,3,21541,8,0.007,4450,519,35544,26617,5458
CymChad/BaseRecyclerViewAdapterHelper,Java,4,20821,191,0.116,4422,565,12742,8735,2231
Netflix/Hystrix,Java,7,20386,79,0.027,4170,1692,80149,51632,17904
ReactiveX/RxAndroid,Java,6,19154,18,0.008,2972,1044,1935,1375,266
geekxh/hello-algorithm,Java,0,19172,0,0.000,3626,431,3167,1845,978
SeleniumHQ/selenium,Java,7,18780,27,0.010,5980,1326,2364,1851,350
lenve/vhr,Java,2,18749,0,0.000,7924,848,22044,18200,1695
google/gson,Java,5,18609,0,0.000,3602,747,39442,26552,8962
xkcoding/spring-boot-demo,Java,2,18093,0,0.000,6191,881,42262,27528,9566
square/picasso,Java,7,17670,7,0.003,4008,902,13501,10092,1803
libgdx/libgdx,Java,8,17487,4,0.001,6053,1266,1097282,744826,193836
seata/seata,Java,1,17424,28,0.043,4962,870,139705,79727,42697
hollischuang/toBeTopJavaer,Java,1,17254,0,0.000,3998,840,69,58,6
chrisbanes/PhotoView,Java,8,17189,5,0.002,3764,663,2643,1879,389
alibaba/easyexcel,Java,2,17129,1,0.001,4480,565,32804,21017,7583
apache/kafka,Java,9,17016,0,0.000,9077,1074,779509,536505,142801
qiurunze123/miaosha,Java,2,16977,0,0.000,4251,717,340905,265668,33996
wuyouzhuguli/SpringAll,Java,2,16901,0,0.000,5010,782,34943,27526,2232
halo-dev/halo,Java,2,16841,58,0.062,5726,425,51667,32397,11596
nostra13/Android-Universal-Image-Loader,Java,8,16749,0,0.000,6289,1390,14226,7521,5446
google/ExoPlayer,Java,6,16436,2,0.001,4916,872,1776,903,774
facebook/fresco,Java,5,16336,42,0.021,3748,899,1215135,964656,58699
jenkinsci/jenkins,Java,9,16246,62,0.017,6455,896,481786,314602,121259
alibaba/canal,Java,7,15894,20,0.007,5046,1170,132884,98841,20244
looly/hutool,Java,6,15832,67,0.028,4861,577,191665,93480,79532
alibaba/spring-cloud-alibaba,Java,2,15820,16,0.015,4742,919,45609,27930,10137
xuxueli/xxl-job,Java,4,15769,29,0.016,6740,925,43356,33574,5342
shuzheng/zheng,Java,4,15625,0,0.000,7370,1522,116698,94478,8287
didi/DoraemonKit,Java,2,15620,3,0.004,2169,368,195569,134436,33175
